shower,pdg,kinetic_energy,x,y,nx,ny,nz,time,weight,time_transformed,X_transformed,Y_transformed,Z_transformed,injection_height,zenith,azimuth,primary_pdg,primary_name,primary_total_energy,primary_kinetic_energy,primary_x,primary_y,primary_z,primary_nx,primary_ny,primary_nz,primary_time,plane,event_id
0.0,11.0,1.0521936416625977,-41.54292678833008,31.182876586914062,-0.011538670398294926,0.00788148120045662,-0.9999023675918579,2.4783717154482853e-05,1.0,0.826292436056574,514.3393429409069,23.18129164332924,6386988.899259596,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,22.0,1.0078647136688232,-40.987144470214844,25.199235916137695,-0.008886639028787613,-0.0021328595466911793,-0.9999582171440125,2.487770471775628e-05,1.0,0.8296520813126668,514.2611105922961,29.190178081108478,6386988.902884455,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,22.0,1.1222202777862549,-8.088592529296875,-2.6121630668640137,-0.0014142550062388182,-0.0005788791459053755,-0.9999988079071045,2.293090928049922e-05,1.0,0.760062639608171,544.0114804643916,60.315793705049266,6386987.5244151205,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,22.0,1.0992239713668823,-5.4468231201171875,-3.1637651920318604,-0.0008724514627829194,-0.0006512641557492316,-0.9999994039535522,2.341397591805131e-05,1.0,0.777330163956123,546.5775979784146,61.142905697088565,6386987.405515278,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,-11.0,2.757416248321533,23.218002319335938,-2.4644644260406494,0.011267091147601604,-3.460521838860586e-05,-0.9999365210533142,2.3414160218407104e-05,1.0,0.7773367518896162,575.1257089426106,63.470328485099685,6386986.082752042,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,13.0,2.1562085151672363,-649.989501953125,-682.0855102539062,-0.08582168817520142,-0.08620180934667587,-0.9925743937492371,2.1947163393428482e-05,1.0,0.7248980168901308,-165.20267755048144,668.3094063677609,6387020.385518105,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,22.0,1.2979036569595337,-41.74192428588867,-11.713550567626953,-0.005518171004951,-0.0018420973792672157,-0.9999830722808838,2.1860508852825714e-05,1.0,0.7218004951956057,509.62290951573254,65.81755040732372,6386989.11779331,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,13.0,6.9781575202941895,132.20803833007812,-15.846979141235352,0.019642001017928123,-0.0031108702532947063,-0.9998022317886353,2.1889903875416757e-05,1.0,0.7228512389829879,681.9821503523217,88.27167450908256,6386981.131609308,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,211.0,25.224103927612305,3.737821102142334,34.81318664550781,0.0004809678066521883,0.003533076960593462,-0.999993622303009,2.1538804116355465e-05,1.0,0.7103009546808616,559.7017762493132,24.34626568334081,6386986.797412678,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,13.0,5.803916931152344,-80.14336395263672,-55.44358444213867,-0.011209371499717236,-0.0028383592143654823,-0.999933123588562,2.1787415571764524e-05,1.0,0.7191877293527986,466.86994525799645,105.2541623480877,6386991.098731713,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,-13.0,7.401394844055176,36.99191665649414,68.89421081542969,0.006552186328917742,0.007620625197887421,-0.9999495148658752,2.1542272831398175e-05,1.0,0.7104249461073026,596.3251454011178,-6.037946532913992,6386985.100486169,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,13.0,25.78814125061035,0.7460452318191528,97.30342864990234,0.0004839061584789306,0.012426880188286304,-0.9999226927757263,2.1769083215028897e-05,1.0,0.7185324275958983,563.3126624260517,-38.11103635126386,6386986.630103973,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,-11.0,2.816178798675537,49.406917572021484,-204.6005401611328,0.011028037406504154,-0.025350235402584076,-0.9996178150177002,2.220676879684973e-05,1.0,0.7341777772295165,579.847448381723,267.24105677517014,6386985.863972476,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,13.0,4.701695442199707,-165.33163452148438,183.38519287109375,-0.019112955778837204,0.021093009039759636,-0.9995948076248169,2.201679453944797e-05,1.0,0.7273870265128202,407.40594936783043,-141.22640114917112,6386993.853967872,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,13.0,3.0671589374542236,-195.15325927734375,-155.4511260986328,-0.02250429056584835,-0.00942764151841402,-0.9997022747993469,2.1725443036227238e-05,1.0,0.7169724816351811,342.08899060246574,192.57580970710086,6386996.880398301,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,13.0,3.8732213973999023,-442.18096923828125,-512.7088012695312,-0.05462579429149628,-0.062497127801179886,-0.996549129486084,2.1648028395455048e-05,1.0,0.7142052460397037,59.068010972181014,521.7913825512636,6387009.994041695,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,13.0,14.300540924072266,-2.604785203933716,-53.92451858520508,-0.0013814347330480814,-0.004585551097989082,-0.9999885559082031,2.1677348831635902e-05,1.0,0.7152533236883922,544.0535657845447,111.92033029482641,6386987.522465117,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,-13.0,21.875568389892578,-14.122334480285645,-35.50775146484375,-0.0022655155044049025,-0.004393419716507196,-0.999987781047821,2.1537524413929735e-05,1.0,0.7102552109033439,534.552554014222,92.39167878266804,6386987.96269001,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,13.0,1.2030400037765503,-2301.26708984375,2908.073974609375,-0.25097426772117615,0.32846975326538086,-0.9105600118637085,2.2809353358380233e-05,1.0,0.755717545822635,-1427.3217677450184,-3075.9660010821144,6387078.865209932,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
